millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
3230,0.00,22.90,51.00,60.00,450.00,42,31,27,101116
4237,0.00,22.90,51.40,60.00,450.00,42,31,27,845
5238,0.00,22.90,51.40,60.00,450.00,42,31,27,792
6245,0.00,22.90,51.20,60.00,450.00,42,31,27,838
7246,0.00,22.90,51.20,60.00,450.00,42,31,27,789
8254,0.00,22.90,51.00,60.00,450.00,42,31,27,836
9254,0.00,22.90,51.00,60.00,450.00,42,31,27,806
10262,0.00,22.90,50.90,60.00,450.00,43,31,27,856
11262,0.00,22.90,50.90,60.00,450.00,43,31,27,804
12270,0.00,22.90,50.90,60.00,450.00,43,31,27,848
13270,0.00,22.90,50.90,60.00,450.00,43,31,27,792
14278,0.00,22.90,50.80,60.00,450.00,43,31,27,852
15278,0.00,22.90,50.80,60.00,450.00,43,31,27,791
16286,0.00,22.90,50.70,60.00,450.00,43,30,27,849
17286,0.00,22.90,50.70,60.00,450.00,43,30,27,743
18294,0.00,22.90,50.70,60.00,450.00,43,30,27,824
19294,0.00,22.90,50.70,60.00,450.00,43,30,27,792
20302,0.00,22.90,50.70,60.00,450.00,43,30,27,808
21302,0.00,22.90,50.70,60.00,450.00,43,30,27,785
22310,0.00,22.90,50.80,60.00,450.00,43,31,27,850
23310,0.00,22.90,50.80,60.00,450.00,43,31,27,746
24318,0.00,22.90,50.70,60.00,450.00,43,30,27,838
25318,0.00,22.90,50.70,60.00,450.00,43,30,27,800
26326,0.00,22.90,50.70,60.00,450.00,43,30,27,830
27326,0.00,22.90,50.70,60.00,450.00,43,30,27,787
28334,0.00,22.90,50.60,60.00,450.00,43,30,27,841
29334,0.00,22.90,50.60,60.00,450.00,43,30,27,801
30342,0.00,22.90,50.50,60.00,450.00,43,30,27,858
31342,0.00,22.90,50.50,60.00,450.00,43,30,27,796
32350,0.00,22.90,50.50,60.00,450.00,43,30,27,848
33350,0.00,22.90,50.50,60.00,450.00,43,30,27,807
34358,0.00,22.90,50.50,60.00,450.00,43,30,27,848
35358,0.00,22.90,50.50,60.00,450.00,43,30,27,800
36366,0.00,22.90,50.40,60.00,450.00,43,30,27,854
37366,0.00,22.90,50.40,60.00,450.00,43,30,27,747
38374,0.00,22.90,50.30,60.00,450.00,43,30,27,851
39374,0.00,22.90,50.30,60.00,450.00,43,30,27,794
40382,0.00,22.90,50.20,60.00,450.00,43,30,27,813
41382,0.00,22.90,50.20,60.00,450.00,43,30,27,795
42390,0.00,22.90,50.30,60.00,450.00,43,30,27,822
43390,0.00,22.90,50.30,60.00,450.00,43,30,27,777
44398,0.00,22.90,50.20,60.00,450.00,43,30,27,826
45398,0.00,22.90,50.20,60.00,450.00,43,30,27,772
46406,0.00,22.90,50.30,60.00,450.00,43,30,27,821
