timestamp,ldr_v,temp_c,hum_pct,tvoc_ppb,eco2_ppm,scenario
10461,0.06,-1.00,-1.00,60.00,450.00,anomaly
11462,0.04,-1.00,-1.00,60.00,450.00,anomaly
12519,0.06,-1.00,-1.00,60.00,450.00,anomaly
13520,0.05,-1.00,-1.00,60.00,450.00,anomaly
14577,0.04,-1.00,-1.00,60.00,450.00,anomaly
15578,0.10,-1.00,-1.00,60.00,450.00,anomaly
16635,0.07,-1.00,-1.00,60.00,450.00,anomaly
17636,0.09,-1.00,-1.00,60.00,450.00,anomaly
18693,0.06,-1.00,-1.00,60.00,450.00,anomaly
19694,0.01,-1.00,-1.00,60.00,450.00,anomaly
20751,0.01,-1.00,-1.00,60.00,450.00,anomaly
21752,0.03,-1.00,-1.00,60.00,450.00,anomaly
22809,0.06,-1.00,-1.00,60.00,450.00,anomaly
23810,0.03,-1.00,-1.00,60.00,450.00,anomaly
24867,0.03,-1.00,-1.00,60.00,450.00,anomaly
25868,0.01,-1.00,-1.00,60.00,450.00,anomaly
26925,0.03,-1.00,-1.00,60.00,450.00,anomaly
27926,0.04,-1.00,-1.00,60.00,450.00,anomaly
28983,0.03,-1.00,-1.00,60.00,450.00,anomaly
29984,0.07,-1.00,-1.00,60.00,450.00,anomaly
31041,0.06,-1.00,-1.00,60.00,450.00,anomaly
32042,0.09,-1.00,-1.00,60.00,450.00,anomaly
33099,0.09,-1.00,-1.00,60.00,450.00,anomaly
34100,0.04,-1.00,-1.00,60.00,450.00,anomaly
35157,0.03,-1.00,-1.00,60.00,450.00,anomaly
36158,0.04,-1.00,-1.00,60.00,450.00,anomaly
37215,0.00,-1.00,-1.00,60.00,450.00,anomaly
38216,0.06,-1.00,-1.00,60.00,450.00,anomaly
39273,0.04,-1.00,-1.00,60.00,450.00,anomaly
40274,0.00,-1.00,-1.00,60.00,450.00,anomaly
41331,0.06,-1.00,-1.00,60.00,450.00,anomaly
42332,0.03,-1.00,-1.00,60.00,450.00,anomaly
43389,0.02,-1.00,-1.00,60.00,450.00,anomaly
