timestamp,ldr_v,temp_c,hum_pct,tvoc_ppb,eco2_ppm,scenario
8253,0.10,25.00,59.50,60.00,450.00,high_temp
0.305 0.339 0.356
9254,0.00,25.00,59.50,60.00,450.00,high_temp
10261,0.06,24.80,59.50,60.00,450.00,high_temp
11262,0.03,24.80,59.50,60.00,450.00,high_temp
12269,0.03,24.70,59.30,60.00,450.00,high_temp
13270,0.09,24.70,59.30,60.00,450.00,high_temp
14277,0.07,24.60,59.00,60.00,450.00,high_temp
15278,0.02,24.60,59.00,60.00,450.00,high_temp
16285,0.06,24.50,59.10,60.00,450.00,high_temp
17286,0.12,24.50,59.10,60.00,450.00,high_temp
18293,0.15,24.40,59.10,60.00,450.00,high_temp
19294,0.01,24.40,59.10,60.00,450.00,high_temp
20301,0.00,24.20,59.10,60.00,450.00,high_temp
21302,0.02,24.20,59.10,60.00,450.00,high_temp
22309,0.06,24.20,66.20,60.00,450.00,high_temp
23310,0.09,24.20,66.20,60.00,450.00,high_temp
24317,0.12,24.60,73.90,60.00,450.00,high_temp
25319,0.06,24.60,73.90,60.00,450.00,high_temp
26326,0.02,25.20,79.40,60.00,450.00,high_temp
27327,0.10,25.20,79.40,60.00,450.00,high_temp
28334,0.08,25.70,83.40,60.00,450.00,high_temp
29335,0.00,25.70,83.40,60.00,450.00,high_temp
30342,0.05,26.20,86.10,60.00,450.00,high_temp
31343,0.03,26.20,86.10,60.00,450.00,high_temp
32350,0.04,26.50,87.90,60.00,450.00,high_temp
33351,0.09,26.50,87.90,60.00,450.00,high_temp
34358,0.07,26.90,89.30,60.00,450.00,high_temp
35359,0.02,26.90,89.30,60.00,450.00,high_temp
36366,0.00,27.10,90.10,60.00,450.00,high_temp
37367,0.09,27.10,90.10,60.00,450.00,high_temp
38374,0.13,27.20,90.60,60.00,450.00,high_temp
39375,0.03,27.20,90.60,60.00,450.00,high_temp
40382,0.03,27.20,90.90,60.00,450.00,high_temp
41383,0.08,27.20,90.90,60.00,450.00,high_temp
42390,0.09,27.10,91.00,60.00,450.00,high_temp
43391,0.00,27.10,91.00,60.00,450.00,high_temp
44398,0.06,27.10,91.20,60.00,450.00,high_temp
45399,0.09,27.10,91.20,60.00,450.00,high_temp
46406,0.07,27.00,91.10,60.00,450.00,high_temp
47407,0.02,27.00,91.10,60.00,450.00,high_temp
48414,0.00,27.00,91.20,60.00,450.00,high_temp
49415,0.03,27.00,91.20,60.00,450.00,high_temp
50422,0.09,27.20,91.50,60.00,450.00,high_temp
51423,0.03,27.20,91.50,60.00,450.00,high_temp
52430,0.03,27.30,91.80,60.00,450.00,high_temp
53431,0.06,27.30,91.80,60.00,450.00,high_temp
54438,0.07,27.30,91.90,60.00,450.00,high_temp
55439,0.05,27.30,91.90,60.00,450.00,high_temp
56446,0.03,27.30,92.00,60.00,450.00,high_temp
57447,0.05,27.30,92.00,60.00,450.00,high_temp
58454,0.11,27.20,92.00,60.00,450.00,high_temp
59455,0.03,27.20,92.00,60.00,450.00,high_temp
