timestamp,ldr_v,temp_c,hum_pct,tvoc_ppb,eco2_ppm,scenario
7145,0.03,24.80,41.70,60.00,450.00,normal
8152,0.03,24.70,41.70,60.00,450.00,normal
9153,0.00,24.70,41.70,60.00,450.00,normal
10160,0.02,24.70,41.80,60.00,450.00,normal
11161,0.09,24.70,41.80,60.00,450.00,normal
12168,0.09,24.70,41.90,60.00,450.00,normal
13169,0.07,24.70,41.90,60.00,450.00,normal
14176,0.07,24.70,41.90,60.00,450.00,normal
15177,0.03,24.70,41.90,60.00,450.00,normal
16184,0.05,24.70,41.80,60.00,450.00,normal
17185,0.03,24.70,41.80,60.00,450.00,normal
18192,0.03,24.80,41.90,60.00,450.00,normal
19193,0.03,24.80,41.90,60.00,450.00,normal
20200,0.06,24.70,41.90,60.00,450.00,normal
21201,0.03,24.70,41.90,60.00,450.00,normal
22208,0.03,24.70,41.90,60.00,450.00,normal
23209,0.02,24.70,41.90,60.00,450.00,normal
24216,0.02,24.70,41.90,60.00,450.00,normal
25217,0.12,24.70,41.90,60.00,450.00,normal
26224,0.12,24.80,44.70,60.00,450.00,normal
27225,0.10,24.80,44.70,60.00,450.00,normal
28232,0.06,25.80,65.90,60.00,450.00,normal
29233,0.02,25.80,65.90,60.00,450.00,normal
30240,0.06,25.80,68.80,60.00,450.00,normal
31241,0.02,25.80,68.80,60.00,450.00,normal
32248,0.06,24.00,50.00,60.00,450.00,normal
33249,0.15,24.00,50.00,60.00,450.00,normal
34256,0.11,26.50,78.60,60.00,450.00,normal
35257,0.05,26.50,78.60,60.00,450.00,normal
36264,0.03,26.60,81.90,60.00,450.00,normal
37265,0.05,26.60,81.90,60.00,450.00,normal
38272,0.03,26.80,83.90,60.00,450.00,normal
39273,0.06,26.80,83.90,60.00,450.00,normal
40280,0.03,26.90,85.20,60.00,450.00,normal
41281,0.19,26.90,85.20,60.00,450.00,normal
42288,0.17,4.30,92.00,60.00,450.00,normal
43289,0.04,4.30,92.00,60.00,450.00,normal
44296,0.07,27.30,87.00,60.00,450.00,normal
45297,0.05,27.30,87.00,60.00,450.00,normal
46304,0.02,27.40,87.30,60.00,450.00,normal
47305,0.00,27.40,87.30,60.00,450.00,normal
48312,0.04,27.50,87.80,60.00,450.00,normal
49313,0.11,27.50,87.80,60.00,450.00,normal
50320,0.08,27.70,88.00,60.00,450.00,normal
51321,0.09,27.70,88.00,60.00,450.00,normal
52328,0.10,27.80,88.10,60.00,450.00,normal
53329,0.03,27.80,88.10,60.00,450.00,normal
54336,0.03,27.80,88.10,60.00,450.00,normal
55337,0.03,27.80,88.10,60.00,450.00,normal
56344,0.02,27.80,88.00,60.00,450.00,normal
57345,0.09,27.80,88.00,60.00,450.00,normal
58352,0.05,27.80,88.00,60.00,450.00,normal
59353,0.10,27.80,88.00,60.00,450.00,normal
60360,0.11,27.70,87.90,60.00,450.00,normal
61361,0.03,27.70,87.90,60.00,450.00,normal
62368,0.03,27.50,87.80,60.00,450.00,normal
63369,0.00,27.50,87.80,60.00,450.00,normal
64376,0.03,27.40,87.70,60.00,450.00,normal
65377,0.08,27.40,87.70,60.00,450.00,normal
66384,0.08,27.30,87.60,60.00,450.00,normal
67385,0.05,27.30,87.60,60.00,450.00,normal
68392,0.08,27.20,87.50,60.00,450.00,normal
69393,0.00,27.20,87.50,60.00,450.00,normal
70400,0.03,27.10,87.40,60.00,450.00,normal
71401,0.03,27.10,87.40,60.00,450.00,normal
72408,0.00,27.00,87.20,60.00,450.00,normal
73409,0.11,27.00,87.20,60.00,450.00,normal
74416,0.06,26.90,87.00,60.00,450.00,normal
75417,0.04,26.90,87.00,60.00,450.00,normal
76424,0.07,26.80,86.80,60.00,450.00,normal
77425,0.06,26.80,86.80,60.00,450.00,normal
78432,0.02,26.70,86.40,60.00,450.00,normal
79433,0.00,26.70,86.40,60.00,450.00,normal
80440,0.06,26.60,86.00,60.00,450.00,normal
81441,0.03,26.60,86.00,60.00,450.00,normal
82448,0.06,26.60,85.50,60.00,450.00,normal
83449,0.10,26.60,85.50,60.00,450.00,normal
84456,0.06,26.50,85.00,60.00,450.00,normal
85457,0.10,26.50,85.00,60.00,450.00,normal
86464,0.09,26.40,84.60,60.00,450.00,normal
87465,0.05,26.40,84.60,60.00,450.00,normal
88472,0.07,26.40,84.00,60.00,450.00,normal
89473,0.06,26.40,84.00,60.00,450.00,normal
90480,0.05,26.40,83.20,60.00,450.00,normal
91481,0.02,26.40,83.20,60.00,450.00,normal
92488,0.00,26.30,82.40,60.00,450.00,normal
93489,0.02,26.30,82.40,60.00,450.00,normal
94496,0.02,26.20,81.50,60.00,450.00,normal
95497,0.04,26.20,81.50,60.00,450.00,normal
96504,0.02,26.20,80.60,60.00,450.00,normal
97505,0.13,26.20,80.60,60.00,450.00,normal
98512,0.08,26.20,79.40,60.00,450.00,normal
99513,0.07,26.20,79.40,60.00,450.00,normal
100520,0.11,26.10,78.10,60.00,450.00,normal
101521,0.00,26.10,78.10,60.00,450.00,normal
102528,0.01,26.10,76.70,60.00,450.00,normal
103529,0.00,26.10,76.70,60.00,450.00,normal
104536,0.02,26.00,75.40,60.00,450.00,normal
105537,0.03,26.00,75.40,60.00,450.00,normal
106544,0.03,26.00,74.00,60.00,450.00,normal
107545,0.13,26.00,74.00,60.00,450.00,normal
108552,0.09,26.00,72.70,60.00,450.00,normal
109553,0.03,26.00,72.70,60.00,450.00,normal
110560,0.11,26.00,71.50,60.00,450.00,normal
111561,0.06,26.00,71.50,60.00,450.00,normal
112568,0.01,25.90,70.30,60.00,450.00,normal
113569,0.04,25.90,70.30,60.00,450.00,normal
114576,0.00,25.90,69.10,60.00,450.00,normal
115577,0.02,25.90,69.10,60.00,450.00,normal
116584,0.00,25.80,67.70,60.00,450.00,normal
117585,0.12,25.80,67.70,60.00,450.00,normal
118592,0.07,25.80,66.20,60.00,450.00,normal
119593,0.10,25.80,66.20,60.00,450.00,normal
120600,0.10,25.80,64.80,60.00,450.00,normal
121601,0.02,25.80,64.80,60.00,450.00,normal
122608,0.06,25.80,63.60,60.00,450.00,normal
123609,0.02,25.80,63.60,60.00,450.00,normal
124616,0.02,25.80,62.50,60.00,450.00,normal
125617,0.02,25.80,62.50,60.00,450.00,normal
126624,0.02,25.80,61.60,60.00,450.00,normal
127625,0.08,25.80,61.60,60.00,450.00,normal
128632,0.04,25.70,60.90,60.00,450.00,normal
129633,0.09,25.70,60.90,60.00,450.00,normal
130640,0.10,25.70,60.10,60.00,450.00,normal
131641,0.07,25.70,60.10,60.00,450.00,normal
132648,0.08,25.70,59.30,60.00,450.00,normal
133649,0.03,25.70,59.30,60.00,450.00,normal
134656,0.06,25.60,58.60,60.00,450.00,normal
135657,0.02,25.60,58.60,60.00,450.00,normal
