timestamp,ldr_v,temp_c,hum_pct,tvoc_ppb,eco2_ppm,scenario
7145,0.03,24.8,41.7,60.0,450.0,normal
8152,0.03,24.7,41.7,60.0,450.0,normal
9153,0.0,24.7,41.7,60.0,450.0,normal
10160,0.02,24.7,41.8,60.0,450.0,normal
11161,0.09,24.7,41.8,60.0,450.0,normal
12168,0.09,24.7,41.9,60.0,450.0,normal
13169,0.07,24.7,41.9,60.0,450.0,normal
14176,0.07,24.7,41.9,60.0,450.0,normal
15177,0.03,24.7,41.9,60.0,450.0,normal
16184,0.05,24.7,41.8,60.0,450.0,normal
17185,0.03,24.7,41.8,60.0,450.0,normal
18192,0.03,24.8,41.9,60.0,450.0,normal
19193,0.03,24.8,41.9,60.0,450.0,normal
20200,0.06,24.7,41.9,60.0,450.0,normal
21201,0.03,24.7,41.9,60.0,450.0,normal
22208,0.03,24.7,41.9,60.0,450.0,normal
23209,0.02,24.7,41.9,60.0,450.0,normal
24216,0.02,24.7,41.9,60.0,450.0,normal
25217,0.12,24.7,41.9,60.0,450.0,normal
26224,0.12,24.8,44.7,60.0,450.0,normal
27225,0.1,24.8,44.7,60.0,450.0,normal
28232,0.06,25.8,65.9,60.0,450.0,normal
29233,0.02,25.8,65.9,60.0,450.0,normal
30240,0.06,25.8,68.8,60.0,450.0,normal
31241,0.02,25.8,68.8,60.0,450.0,normal
32248,0.06,24.0,50.0,60.0,450.0,normal
33249,0.15,24.0,50.0,60.0,450.0,normal
34256,0.11,26.5,78.6,60.0,450.0,normal
35257,0.05,26.5,78.6,60.0,450.0,normal
36264,0.03,26.6,81.9,60.0,450.0,normal
37265,0.05,26.6,81.9,60.0,450.0,normal
38272,0.03,26.8,83.9,60.0,450.0,normal
39273,0.06,26.8,83.9,60.0,450.0,normal
40280,0.03,26.9,85.2,60.0,450.0,normal
41281,0.19,26.9,85.2,60.0,450.0,normal
42288,0.17,4.3,92.0,60.0,450.0,normal
43289,0.04,4.3,92.0,60.0,450.0,normal
44296,0.07,27.3,87.0,60.0,450.0,normal
45297,0.05,27.3,87.0,60.0,450.0,normal
46304,0.02,27.4,87.3,60.0,450.0,normal
47305,0.0,27.4,87.3,60.0,450.0,normal
48312,0.04,27.5,87.8,60.0,450.0,normal
49313,0.11,27.5,87.8,60.0,450.0,normal
50320,0.08,27.7,88.0,60.0,450.0,normal
51321,0.09,27.7,88.0,60.0,450.0,normal
52328,0.1,27.8,88.1,60.0,450.0,normal
53329,0.03,27.8,88.1,60.0,450.0,normal
54336,0.03,27.8,88.1,60.0,450.0,normal
55337,0.03,27.8,88.1,60.0,450.0,normal
56344,0.02,27.8,88.0,60.0,450.0,normal
57345,0.09,27.8,88.0,60.0,450.0,normal
58352,0.05,27.8,88.0,60.0,450.0,normal
59353,0.1,27.8,88.0,60.0,450.0,normal
60360,0.11,27.7,87.9,60.0,450.0,normal
61361,0.03,27.7,87.9,60.0,450.0,normal
62368,0.03,27.5,87.8,60.0,450.0,normal
63369,0.0,27.5,87.8,60.0,450.0,normal
64376,0.03,27.4,87.7,60.0,450.0,normal
65377,0.08,27.4,87.7,60.0,450.0,normal
66384,0.08,27.3,87.6,60.0,450.0,normal
67385,0.05,27.3,87.6,60.0,450.0,normal
68392,0.08,27.2,87.5,60.0,450.0,normal
69393,0.0,27.2,87.5,60.0,450.0,normal
70400,0.03,27.1,87.4,60.0,450.0,normal
71401,0.03,27.1,87.4,60.0,450.0,normal
72408,0.0,27.0,87.2,60.0,450.0,normal
73409,0.11,27.0,87.2,60.0,450.0,normal
74416,0.06,26.9,87.0,60.0,450.0,normal
75417,0.04,26.9,87.0,60.0,450.0,normal
76424,0.07,26.8,86.8,60.0,450.0,normal
77425,0.06,26.8,86.8,60.0,450.0,normal
78432,0.02,26.7,86.4,60.0,450.0,normal
79433,0.0,26.7,86.4,60.0,450.0,normal
80440,0.06,26.6,86.0,60.0,450.0,normal
81441,0.03,26.6,86.0,60.0,450.0,normal
82448,0.06,26.6,85.5,60.0,450.0,normal
83449,0.1,26.6,85.5,60.0,450.0,normal
84456,0.06,26.5,85.0,60.0,450.0,normal
85457,0.1,26.5,85.0,60.0,450.0,normal
86464,0.09,26.4,84.6,60.0,450.0,normal
87465,0.05,26.4,84.6,60.0,450.0,normal
88472,0.07,26.4,84.0,60.0,450.0,normal
89473,0.06,26.4,84.0,60.0,450.0,normal
90480,0.05,26.4,83.2,60.0,450.0,normal
91481,0.02,26.4,83.2,60.0,450.0,normal
92488,0.0,26.3,82.4,60.0,450.0,normal
93489,0.02,26.3,82.4,60.0,450.0,normal
94496,0.02,26.2,81.5,60.0,450.0,normal
95497,0.04,26.2,81.5,60.0,450.0,normal
96504,0.02,26.2,80.6,60.0,450.0,normal
97505,0.13,26.2,80.6,60.0,450.0,normal
98512,0.08,26.2,79.4,60.0,450.0,normal
99513,0.07,26.2,79.4,60.0,450.0,normal
100520,0.11,26.1,78.1,60.0,450.0,normal
101521,0.0,26.1,78.1,60.0,450.0,normal
102528,0.01,26.1,76.7,60.0,450.0,normal
103529,0.0,26.1,76.7,60.0,450.0,normal
104536,0.02,26.0,75.4,60.0,450.0,normal
105537,0.03,26.0,75.4,60.0,450.0,normal
106544,0.03,26.0,74.0,60.0,450.0,normal
107545,0.13,26.0,74.0,60.0,450.0,normal
108552,0.09,26.0,72.7,60.0,450.0,normal
109553,0.03,26.0,72.7,60.0,450.0,normal
110560,0.11,26.0,71.5,60.0,450.0,normal
111561,0.06,26.0,71.5,60.0,450.0,normal
112568,0.01,25.9,70.3,60.0,450.0,normal
113569,0.04,25.9,70.3,60.0,450.0,normal
114576,0.0,25.9,69.1,60.0,450.0,normal
115577,0.02,25.9,69.1,60.0,450.0,normal
116584,0.0,25.8,67.7,60.0,450.0,normal
117585,0.12,25.8,67.7,60.0,450.0,normal
118592,0.07,25.8,66.2,60.0,450.0,normal
119593,0.1,25.8,66.2,60.0,450.0,normal
120600,0.1,25.8,64.8,60.0,450.0,normal
121601,0.02,25.8,64.8,60.0,450.0,normal
122608,0.06,25.8,63.6,60.0,450.0,normal
123609,0.02,25.8,63.6,60.0,450.0,normal
124616,0.02,25.8,62.5,60.0,450.0,normal
125617,0.02,25.8,62.5,60.0,450.0,normal
126624,0.02,25.8,61.6,60.0,450.0,normal
127625,0.08,25.8,61.6,60.0,450.0,normal
128632,0.04,25.7,60.9,60.0,450.0,normal
129633,0.09,25.7,60.9,60.0,450.0,normal
130640,0.1,25.7,60.1,60.0,450.0,normal
131641,0.07,25.7,60.1,60.0,450.0,normal
132648,0.08,25.7,59.3,60.0,450.0,normal
133649,0.03,25.7,59.3,60.0,450.0,normal
134656,0.06,25.6,58.6,60.0,450.0,normal
135657,0.02,25.6,58.6,60.0,450.0,normal
136664,0.0,25.6,57.9,60.0,450.0,normal
137665,0.12,25.6,57.9,60.0,450.0,normal
138672,0.11,25.6,56.9,60.0,450.0,normal
139673,0.07,25.6,56.9,60.0,450.0,normal
140680,0.07,25.6,56.2,60.0,450.0,normal
141681,0.03,25.6,56.2,60.0,450.0,normal
142688,0.02,25.6,55.5,60.0,450.0,normal
143689,0.06,25.6,55.5,60.0,450.0,normal
144696,0.0,25.6,54.9,60.0,450.0,normal
145697,0.06,25.6,54.9,60.0,450.0,normal
146704,0.04,25.6,54.5,60.0,450.0,normal
147705,0.11,25.6,54.5,60.0,450.0,normal
