timestamp,ldr_v,temp_c,hum_pct,tvoc_ppb,eco2_ppm,scenario
39 0.357
10261,0.02,-11.30,70.30,60.00,450.00,high_humidity
11262,0.10,-11.30,70.30,60.00,450.00,high_humidity
12269,0.09,-10.50,71.10,60.00,450.00,high_humidity
13270,0.07,-10.50,71.10,60.00,450.00,high_humidity
14277,0.10,-9.90,71.90,60.00,450.00,high_humidity
15278,0.06,-9.90,71.90,60.00,450.00,high_humidity
16285,0.00,-9.20,72.70,60.00,450.00,high_humidity
17287,0.03,-9.20,72.70,60.00,450.00,high_humidity
18294,0.06,-8.50,73.50,60.00,450.00,high_humidity
19296,0.11,-8.50,73.50,60.00,450.00,high_humidity
20303,0.13,-7.90,74.30,60.00,450.00,high_humidity
21304,0.05,-7.90,74.30,60.00,450.00,high_humidity
22311,0.05,-7.30,75.00,60.00,450.00,high_humidity
23312,0.00,-7.30,75.00,60.00,450.00,high_humidity
24319,0.02,-6.70,75.70,60.00,450.00,high_humidity
25320,0.03,-6.70,75.70,60.00,450.00,high_humidity
26327,0.07,-6.00,76.40,60.00,450.00,high_humidity
27328,0.10,-6.00,76.40,60.00,450.00,high_humidity
28335,0.09,-5.40,77.00,60.00,450.00,high_humidity
29336,0.07,-5.40,77.00,60.00,450.00,high_humidity
30343,0.07,-4.90,77.70,60.00,450.00,high_humidity
31344,0.02,-4.90,77.70,60.00,450.00,high_humidity
32351,0.00,-4.40,78.30,60.00,450.00,high_humidity
33352,0.03,-4.40,78.30,60.00,450.00,high_humidity
34359,0.06,-3.80,78.90,60.00,450.00,high_humidity
35360,0.10,-3.80,78.90,60.00,450.00,high_humidity
36367,0.09,-3.30,79.40,60.00,450.00,high_humidity
37368,0.10,-3.30,79.40,60.00,450.00,high_humidity
38375,0.10,-2.80,79.90,60.00,450.00,high_humidity
39376,0.03,-2.80,79.90,60.00,450.00,high_humidity
40383,0.00,-2.40,80.40,60.00,450.00,high_humidity
41384,0.03,-2.40,80.40,60.00,450.00,high_humidity
