timestamp,ldr_v,temp_c,hum_pct,tvoc_ppb,eco2_ppm,scenario
4238,0.06,22.90,48.40,60.00,450.00,low_light
5239,0.06,22.90,48.40,60.00,450.00,low_light
6246,0.06,22.80,48.40,60.00,450.00,low_light
7247,0.03,22.80,48.40,60.00,450.00,low_light
8254,0.02,22.80,48.40,60.00,450.00,low_light
9255,0.00,22.80,48.40,60.00,450.00,low_light
10262,0.03,22.80,48.40,60.00,450.00,low_light
11263,0.10,22.80,48.40,60.00,450.00,low_light
12270,0.07,22.80,48.40,60.00,450.00,low_light
13271,0.02,22.80,48.40,60.00,450.00,low_light
14278,0.06,22.90,48.60,60.00,450.00,low_light
15279,0.06,22.90,48.60,60.00,450.00,low_light
16286,0.03,22.80,48.80,60.00,450.00,low_light
17287,0.05,22.80,48.80,60.00,450.00,low_light
18294,0.07,22.90,48.90,60.00,450.00,low_light
19295,0.06,22.90,48.90,60.00,450.00,low_light
20302,0.06,22.90,49.10,60.00,450.00,low_light
21303,0.04,22.90,49.10,60.00,450.00,low_light
22310,0.01,22.90,49.10,60.00,450.00,low_light
23311,0.08,22.90,49.10,60.00,450.00,low_light
24318,0.05,22.90,49.00,60.00,450.00,low_light
25319,0.00,22.90,49.00,60.00,450.00,low_light
26326,0.03,22.90,49.00,60.00,450.00,low_light
27327,0.06,22.90,49.00,60.00,450.00,low_light
28334,0.06,22.90,48.90,60.00,450.00,low_light
29335,0.01,22.90,48.90,60.00,450.00,low_light
30342,0.06,22.90,48.80,60.00,450.00,low_light
31343,0.06,22.90,48.80,60.00,450.00,low_light
32350,0.03,22.90,48.80,60.00,450.00,low_light
33351,0.07,22.90,48.80,60.00,450.00,low_light
34358,0.06,22.90,48.70,60.00,450.00,low_light
35359,0.06,22.90,48.70,60.00,450.00,low_light
36366,0.03,22.90,48.70,60.00,450.00,low_light
37367,0.02,22.90,48.70,60.00,450.00,low_light
38374,0.04,22.90,48.80,60.00,450.00,low_light
39375,0.08,22.90,48.80,60.00,450.00,low_light
40382,0.08,22.90,48.90,60.00,450.00,low_light
41383,0.01,22.90,48.90,60.00,450.00,low_light
42390,0.03,22.90,48.90,60.00,450.00,low_light
43391,0.08,22.90,48.90,60.00,450.00,low_light
44398,0.06,22.90,48.90,60.00,450.00,low_light
45399,0.03,22.90,48.90,60.00,450.00,low_light
46406,0.04,22.90,48.80,60.00,450.00,low_light
47407,0.00,22.90,48.80,60.00,450.00,low_light
48414,0.03,22.90,48.90,60.00,450.00,low_light
49415,0.13,22.90,48.90,60.00,450.00,low_light
50422,0.13,22.90,48.90,60.00,450.00,low_light
51423,0.02,22.90,48.90,60.00,450.00,low_light
52430,0.00,22.90,48.90,60.00,450.00,low_light
53431,0.03,22.90,48.90,60.00,450.00,low_light
54438,0.03,22.90,48.90,60.00,450.00,low_light
55439,0.10,22.90,48.90,60.00,450.00,low_light
56446,0.06,22.90,48.90,60.00,450.00,low_light
57447,0.03,22.90,48.90,60.00,450.00,low_light
58454,0.03,22.90,48.80,60.00,450.00,low_light
59455,0.06,22.90,48.80,60.00,450.00,low_light
60462,0.01,22.90,48.80,60.00,450.00,low_light
61463,0.05,22.90,48.80,60.00,450.00,low_light
62470,0.05,22.90,48.90,60.00,450.00,low_light
63471,0.04,22.90,48.90,60.00,450.00,low_light
64478,0.02,22.90,48.90,60.00,450.00,low_light
65479,0.06,22.90,48.90,60.00,450.00,low_light
66486,0.08,22.90,48.90,60.00,450.00,low_light
67487,0.02,22.90,48.90,60.00,450.00,low_light
68494,0.04,22.90,48.90,60.00,450.00,low_light
69495,0.03,22.90,48.90,60.00,450.00,low_light
70502,0.03,22.90,48.90,60.00,450.00,low_light
71503,0.09,22.90,48.90,60.00,450.00,low_light
72510,0.07,22.90,48.80,60.00,450.00,low_light
73511,0.06,22.90,48.80,60.00,450.00,low_light
74518,0.03,22.90,48.90,60.00,450.00,low_light
75519,0.04,22.90,48.90,60.00,450.00,low_light
76526,0.02,22.90,48.80,60.00,450.00,low_light
77527,0.07,22.90,48.80,60.00,450.00,low_light
78534,0.04,22.90,48.80,60.00,450.00,low_light
79535,0.06,22.90,48.80,60.00,450.00,low_light
80542,0.03,22.90,48.80,60.00,450.00,low_light
81543,0.06,22.90,48.80,60.00,450.00,low_light
82550,0.06,22.90,48.90,60.00,450.00,low_light
83551,0.04,22.90,48.90,60.00,450.00,low_light
84558,0.00,22.90,48.90,60.00,450.00,low_light
85559,0.02,22.90,48.90,60.00,450.00,low_light
